id,gameName,gameURL,gameType
fnf,Friday Night Funkin',https://fnf.kdata1.com/2024/fnf/5201/,online
clusterrush,Cluster Rush,https://cluster-rush.io/game/,online
retrobowl,Retro Bowl,./games/retro-bowl/index.html,local
drivemad,Drive Mad,https://play.fancade.com/5F084A0BCE06B710?max_w=999999&max_h=9999999&istart=1,online
fnfhex2,Fnf VS Hex 2,https://fnf.kdata1.com/hex-weekend/2/,online
fnfvsagoti,Fnf VS Agoti,https://fnf.run3.io/agoti/100/,online
fnfsillybilly,Fnf VS Silly Billy,https://fnf.kdata1.com/2024/silly-billy-vs-yourself/1/,online
fnfshaggy,Fnf VS Shaggy,https://fnf.run3.io/shaggy/6.5/,online
garfield2048v1,Garfield 2048 V1,https://all2048.com/garfield,online
flappybird,Flappybird,https://flappybird.io/,online
jetpackjoyride,Jetpack Joyride,https://kdata1.com/2024/02/jetpack-joyride/,online
motox3m,Moto X3M,https://www.coolmathgames.com/0-moto-x3m/play,online
driftboss,Drift Boss,https://www.coolmathgames.com/0-drift-boss/play,online
run3,Run 3,https://www.coolmathgames.com/0-run-3/play,online
minecraft,Minecraft 1.12.2,https://eaglercraft.com/mc/1.12.2-wasm/?token=795f7f0d-0776-4282-a496-ae0db929b697&version=1.12.2-wasm,online
fnfvsbob,Fnf VS Bob,https://w8.snokido.com/games/html5/friday-night-funkin/bob03/index.html,online
fnfsonicexe,Fnf VS Sonic.exe,https://w8.snokido.com/games/html5/friday-night-funkin/sonicexe39/index2.html,online
minesweeper,Mine Sweeper,https://minesweeperonline.com/,online
tetris,Tetris,https://play.tetris.com/tetris-game-package/game/target-mobile/game.html,online
